Date,Wafer,Band,Row,Col,Width_nm,Length_um,ER_dB,IL_dB,Vpi_V,Vpi_L_V_cm,R2_dlam_vs_V,quality_grade,imbalance_dB,mzm_loss_dB,overall,vpi_extraction,er_phys,il_phys,vpi_phys,er_z,il_z,vpi_z,linearity,imbalance,loss,notes,figures
2019-05-26,D08,O,3,0,380,500,31.483,-6.572,28.74,1.437,0.9802,B,0.46,0.55,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-26/O-band/D08/(3,0).png"
2019-05-31,D23,O,-4,-1,380,500,27.875,-8.499,,,0.3499,F,0.7,1.654,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,OK,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.350 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(-4,-1).png"
2019-05-31,D23,O,-3,-3,380,500,30.779,-9.741,,,0.3169,F,0.5,1.661,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,OK,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.317 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(-3,-3).png"
2019-05-31,D23,O,-3,0,380,500,33.244,-7.332,,,0.0377,F,0.38,1.284,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.038 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(-3,0).png"
2019-05-31,D23,O,-3,2,380,500,30.773,-7.382,,,0.4262,F,0.5,0.954,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,OK,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.426 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(-3,2).png"
2019-05-31,D23,O,-1,-3,380,500,31.699,-9.219,,,0.2821,F,0.45,1.614,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.282 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(-1,-3).png"
2019-05-31,D23,O,-1,-1,380,500,30.992,-7.065,,,0.3142,F,0.49,0.522,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.314 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(-1,-1).png"
2019-05-31,D23,O,-1,3,380,500,32.503,-8.1,,,0.3706,F,0.41,1.229,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.371 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(-1,3).png"
2019-05-31,D23,O,0,-4,380,500,31.825,-8.028,,,0.4622,F,0.45,1.0,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.462 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(0,-4).png"
2019-05-31,D23,O,0,0,380,500,29.592,-6.775,,,0.0188,F,0.58,0.639,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,OK,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.019 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(0,0).png"
2019-05-31,D23,O,0,2,380,500,32.478,-6.919,,,0.1909,F,0.41,1.019,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.191 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(0,2).png"
2019-05-31,D23,O,2,-3,380,500,33.422,-7.398,,,0.3542,F,0.37,0.963,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.354 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(2,-3).png"
2019-05-31,D23,O,2,-1,380,500,31.506,-6.857,,,0.1029,F,0.46,0.607,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.103 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(2,-1).png"
2019-05-31,D23,O,2,2,380,500,33.974,-6.436,,,0.0185,F,0.35,0.501,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.018 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(2,2).png"
2019-05-31,D23,O,3,0,380,500,34.457,-6.541,,,0.1497,F,0.33,0.357,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.150 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D23/(3,0).png"
2019-05-31,D24,O,-4,-1,380,500,29.102,-8.821,,,0.5966,F,0.61,1.694,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,CAUTION,OK,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.597 (< 0.9, marginal)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(-4,-1).png"
2019-05-31,D24,O,-3,-3,380,500,32.241,-9.843,,,0.0954,F,0.42,1.344,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.095 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(-3,-3).png"
2019-05-31,D24,O,-3,0,380,500,31.9,-8.044,,,0.0087,F,0.44,1.533,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.009 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(-3,0).png"
2019-05-31,D24,O,-3,2,380,500,29.778,-8.036,,,0.7216,F,0.56,1.465,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,CAUTION,OK,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.722 (< 0.9, marginal)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(-3,2).png"
2019-05-31,D24,O,-1,-3,380,500,30.524,-8.673,,,0.3039,F,0.52,0.428,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,OK,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.304 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(-1,-3).png"
2019-05-31,D24,O,-1,-1,380,500,29.688,-6.785,,,0.0676,F,0.57,0.846,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,OK,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.068 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(-1,-1).png"
2019-05-31,D24,O,-1,3,380,500,32.253,-8.525,,,0.2119,F,0.42,1.146,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.212 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(-1,3).png"
2019-05-31,D24,O,0,-4,380,500,32.91,-8.239,,,0.3511,F,0.39,1.557,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.351 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(0,-4).png"
2019-05-31,D24,O,0,0,380,500,29.881,-6.785,,,0.2086,F,0.56,0.775,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,OK,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.209 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(0,0).png"
2019-05-31,D24,O,0,2,380,500,31.358,-6.643,,,0.0287,F,0.47,0.78,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.029 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(0,2).png"
2019-05-31,D24,O,2,-3,380,500,31.543,-7.891,,,0.2379,F,0.46,0.95,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.238 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(2,-3).png"
2019-05-31,D24,O,2,-1,380,500,31.925,-6.389,,,0.2371,F,0.44,0.311,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.237 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(2,-1).png"
2019-05-31,D24,O,2,2,380,500,28.69,-7.481,,,0.0631,F,0.64,1.404,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,OK,OK,"Vpi extraction failed (slope_filter); Linearity R²=0.063 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(2,2).png"
2019-05-31,D24,O,3,0,380,500,31.412,-7.55,,,0.2172,F,0.47,0.783,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,"Vpi extraction failed (slope_filter); Linearity R²=0.217 (< 0.5, poor fit)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-05-31/O-band/D24/(3,0).png"
2019-06-03,D23,O,-4,-1,380,500,29.083,-8.322,36.18,1.809,0.9762,B,0.61,1.418,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(-4,-1).png"
2019-06-03,D23,O,-3,-3,380,500,31.257,-9.721,42.12,2.106,0.9804,B,0.48,1.299,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(-3,-3).png"
2019-06-03,D23,O,-3,0,380,500,32.936,-7.292,42.05,2.1025,0.9936,A,0.39,0.981,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(-3,0).png"
2019-06-03,D23,O,-3,2,380,500,30.942,-7.466,35.49,1.7745,0.9939,A,0.49,0.935,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(-3,2).png"
2019-06-03,D23,O,-1,-3,380,500,30.964,-9.174,45.89,2.2945,0.9321,C,0.49,2.05,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,WARN,"Linearity R²=0.932 (< 0.95); MZM loss 2.05 dB (>=2.0, high)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(-1,-3).png"
2019-06-03,D23,O,-1,-1,380,500,30.056,-7.066,44.36,2.218,0.933,C,0.55,0.87,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,OK,PASS,Linearity R²=0.933 (< 0.95),"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(-1,-1).png"
2019-06-03,D23,O,-1,3,380,500,31.848,-7.954,35.16,1.758,0.9906,A,0.44,1.069,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(-1,3).png"
2019-06-03,D23,O,0,-4,380,500,32.196,-8.017,38.29,1.9145,0.985,B,0.43,0.983,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(0,-4).png"
2019-06-03,D23,O,0,0,380,500,29.911,-6.744,46.64,2.332,0.9576,B,0.56,0.533,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(0,0).png"
2019-06-03,D23,O,0,2,380,500,32.627,-6.911,40.54,2.027,0.9743,B,0.41,0.894,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(0,2).png"
2019-06-03,D23,O,2,-3,380,500,32.794,-7.334,37.81,1.8905,0.9913,A,0.4,1.018,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(2,-3).png"
2019-06-03,D23,O,2,-1,380,500,31.937,-6.962,42.12,2.106,0.9943,A,0.44,0.464,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(2,-1).png"
2019-06-03,D23,O,2,2,380,500,34.566,-6.487,42.37,2.1185,0.9967,A,0.32,0.337,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(2,2).png"
2019-06-03,D23,O,3,0,380,500,34.394,-6.538,37.93,1.8965,0.9844,B,0.33,0.297,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D23/(3,0).png"
2019-06-03,D24,O,-4,-1,380,500,29.868,-8.519,41.34,2.067,0.9791,B,0.56,1.689,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(-4,-1).png"
2019-06-03,D24,O,-3,-3,380,500,31.996,-9.754,37.35,1.8675,0.9161,C,0.44,1.475,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,OK,Linearity R²=0.916 (< 0.95),"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(-3,-3).png"
2019-06-03,D24,O,-3,0,380,500,32.033,-7.907,38.19,1.9095,0.9908,A,0.43,1.493,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(-3,0).png"
2019-06-03,D24,O,-3,2,380,500,29.014,-7.995,40.4,2.02,0.9459,C,0.62,1.439,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,OK,OK,Linearity R²=0.946 (< 0.95),"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(-3,2).png"
2019-06-03,D24,O,-1,-3,380,500,31.671,-8.967,39.5,1.975,0.979,B,0.45,0.904,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(-1,-3).png"
2019-06-03,D24,O,-1,-1,380,500,31.376,-6.944,44.23,2.2115,0.8788,D,0.47,0.963,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CAUTION,PASS,PASS,"Linearity R²=0.879 (< 0.9, marginal)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(-1,-1).png"
2019-06-03,D24,O,-1,3,380,500,32.741,-8.506,38.16,1.908,0.9584,B,0.4,1.166,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(-1,3).png"
2019-06-03,D24,O,0,-4,380,500,33.284,-8.225,42.95,2.1475,0.9652,B,0.38,1.417,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(0,-4).png"
2019-06-03,D24,O,0,0,380,500,30.201,-6.855,43.37,2.1685,0.976,B,0.54,0.852,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(0,0).png"
2019-06-03,D24,O,0,2,380,500,32.125,-6.539,41.84,2.092,0.8615,D,0.43,0.601,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CAUTION,PASS,PASS,"Linearity R²=0.862 (< 0.9, marginal)","/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(0,2).png"
2019-06-03,D24,O,2,-3,380,500,31.565,-7.892,40.19,2.0095,0.9857,B,0.46,0.976,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(2,-3).png"
2019-06-03,D24,O,2,-1,380,500,33.118,-6.458,45.97,2.2985,0.9964,A,0.38,0.57,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(2,-1).png"
2019-06-03,D24,O,2,2,380,500,28.821,-7.31,43.91,2.1955,0.9869,B,0.63,1.07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,OK,OK,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(2,2).png"
2019-06-03,D24,O,3,0,380,500,31.525,-7.498,40.04,2.002,0.9878,B,0.46,0.6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-06-03/O-band/D24/(3,0).png"
2019-07-12,D08,C,-4,-1,450,500,36.843,-9.738,32.32,1.616,0.9915,A,0.25,0.503,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-4,-1).png"
2019-07-12,D08,C,-3,-3,450,500,37.06,-9.853,32.69,1.6345,0.9924,A,0.24,0.725,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-3,-3).png"
2019-07-12,D08,C,-3,0,450,500,36.589,-10.323,34.18,1.709,0.9784,B,0.26,0.078,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-3,0).png"
2019-07-12,D08,C,-3,2,450,500,37.113,-12.083,31.92,1.596,0.9792,B,0.24,0.089,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-3,2).png"
2019-07-12,D08,C,-1,-3,450,500,35.932,-10.292,32.08,1.604,0.9811,B,0.28,0.271,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-1,-3).png"
2019-07-12,D08,C,-1,-1,450,500,35.448,-9.162,37.23,1.8615,0.9851,B,0.29,0.331,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-1,-1).png"
2019-07-12,D08,C,-1,3,450,500,37.911,-10.763,34.98,1.749,0.9901,A,0.22,0.513,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(-1,3).png"
2019-07-12,D08,C,0,-4,450,500,39.026,-12.481,36.13,1.8065,0.995,A,0.19,0.614,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(0,-4).png"
2019-07-12,D08,C,0,0,450,500,37.349,-9.8,33.14,1.657,0.9987,A,0.24,-0.048,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"/Users/gimhanseo/Desktop/공프/자동분석폴더/res/figures_per_die/2019-07-12/C-band/D08/(0,0).png"
